ccn_conc,ccn_sursaturation,datetime,pollution_flag,ccn_flag
96.072,0.1,2023-02-01 20:02:15,0.0,0.0
194.268,0.1,2023-02-01 20:02:16,0.0,0.0
278.64,0.1,2023-02-01 20:02:17,0.0,0.0
264.96,0.1,2023-02-01 20:02:18,0.0,0.0
293.603,0.1,2023-02-01 20:02:19,0.0,0.0
265.095,0.1,2023-02-01 20:02:20,0.0,0.0
304.342,0.1,2023-02-01 20:02:21,0.0,0.0
258.392,0.1,2023-02-01 20:02:22,0.0,0.0
185.914,0.1,2023-02-01 20:02:23,0.0,0.0
108.173,0.1,2023-02-01 20:02:24,0.0,0.0
80.419,0.1,2023-02-01 20:02:25,0.0,0.0
60.584,0.1,2023-02-01 20:02:26,0.0,0.0
109.743,0.1,2023-02-01 20:02:27,0.0,0.0
202.139,0.1,2023-02-01 20:02:28,0.0,0.0
283.682,0.1,2023-02-01 20:02:29,0.0,0.0
278.131,0.1,2023-02-01 20:02:30,0.0,0.0
228.781,0.1,2023-02-01 20:02:31,0.0,0.0
343.131,0.1,2023-02-01 20:02:32,0.0,0.0
262.013,0.1,2023-02-01 20:02:33,0.0,0.0
263.373,0.1,2023-02-01 20:02:34,0.0,0.0
255.065,0.1,2023-02-01 20:02:35,0.0,0.0
159.542,0.1,2023-02-01 20:02:36,0.0,0.0
74.052,0.1,2023-02-01 20:02:37,0.0,0.0
80.49,0.1,2023-02-01 20:02:38,0.0,0.0
80.364,0.1,2023-02-01 20:02:39,0.0,0.0
119.254,0.1,2023-02-01 20:02:40,0.0,0.0
167.36,0.1,2023-02-01 20:02:41,0.0,0.0
219.277,0.1,2023-02-01 20:02:42,0.0,0.0
235.88,0.1,2023-02-01 20:02:43,0.0,0.0
165.048,0.1,2023-02-01 20:02:44,0.0,0.0
214.992,0.1,2023-02-01 20:02:45,0.0,0.0
217.72,0.1,2023-02-01 20:02:46,0.0,0.0
174.343,0.1,2023-02-01 20:02:47,0.0,0.0
226.161,0.1,2023-02-01 20:02:48,0.0,0.0
197.522,0.1,2023-02-01 20:02:49,0.0,0.0
190.517,0.1,2023-02-01 20:02:50,0.0,0.0
166.161,0.1,2023-02-01 20:02:51,0.0,0.0
189.76,0.1,2023-02-01 20:02:52,0.0,0.0
138.22,0.1,2023-02-01 20:02:53,0.0,0.0
